,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE
80,1,08:30,45.750,46.550,21-03-2020
81,,,,,22-03-2020
82,1,08:30,45.800,46.500,23-03-2020
83,1,08:20,45.800,46.500,24-03-2020
84,1,08:25,46.500,47.200,25-03-2020
85,1,09:25,46.600,47.300,26-03-2020
86,1,08:35,47.050,47.850,27-03-2020
87,1,08:25,46.950,47.800,28-03-2020
88,,,,,29-03-2020
89,1,08:30,47.100,47.900,30-03-2020
90,1,08:55,47.100,48.300,31-03-2020
91,1,08:40,46.600,47.900,01-04-2020
92,1,16:00,47.050,48.050,02-04-2020
93,1,08:40,47.150,48.150,03-04-2020
94,,,,,04-04-2020
95,,,,,05-04-2020
96,1,15:10,47.000,48.000,06-04-2020
97,1,08:55,47.400,48.400,07-04-2020
98,1,10:05,47.000,47.900,08-04-2020
99,1,14:05,47.200,48.050,09-04-2020
100,1,08:40,47.600,48.450,10-04-2020
101,,,,,11-04-2020
102,,,,,12-04-2020
103,1,08:40,47.450,48.300,13-04-2020
104,1,08:25,47.550,48.400,14-04-2020
105,1,09:25,47.700,48.500,15-04-2020
106,1,08:30,47.550,48.350,16-04-2020
107,1,09:20,47.500,48.250,17-04-2020
108,,,,,18-04-2020
109,,,,,19-04-2020
110,1,08:25,47.400,48.150,20-04-2020
111,1,08:55,47.400,48.050,21-04-2020
112,1,09:00,47.500,48.150,22-04-2020
113,1,08:30,47.650,48.300,23-04-2020
114,1,08:30,47.750,48.400,24-04-2020
115,1,10:45,47.900,48.550,25-04-2020
116,,,,,26-04-2020
117,1,09:20,47.850,48.500,27-04-2020
118,1,10:40,47.750,48.400,28-04-2020
119,1,09:05,48.000,48.650,29-04-2020
120,,,,,30-04-2020
121,,,,,01-05-2020
122,,,,,02-05-2020
123,,,,,03-05-2020
124,1,10:25,47.800,48.400,04-05-2020
125,1,08:25,47.850,48.450,05-05-2020
126,1,09:00,47.900,48.500,06-05-2020
127,1,08:50,47.800,48.250,07-05-2020
128,1,08:25,48.000,48.450,08-05-2020
129,1,08:25,47.900,48.300,09-05-2020
130,,,,,10-05-2020
131,1,08:45,47.850,48.300,11-05-2020
132,1,08:35,47.750,48.150,12-05-2020
133,1,16:00,48.000,48.400,13-05-2020
134,1,16:00,48.170,48.550,14-05-2020
135,1,09:30,48.650,49.000,01-06-2020
136,1,09:10,48.680,49.030,02-06-2020
137,1,11:00,48.520,48.870,03-06-2020
138,1,08:25,48.380,48.730,04-06-2020
139,1,10:15,48.500,48.840,05-06-2020
140,1,08:35,48.480,48.820,06-06-2020
141,,,,,07-06-2020
142,1,08:40,48.330,48.680,08-06-2020
143,1,08:35,48.400,48.750,09-06-2020
144,1,08:35,48.430,48.780,10-06-2020
145,1,08:50,48.520,48.870,11-06-2020
146,1,14:30,48.420,48.770,12-06-2020
147,1,08:30,48.420,48.770,13-06-2020
148,,,,,14-06-2020
149,1,09:30,48.460,48.800,15-06-2020
150,1,16:00,48.320,48.670,16-06-2020
151,1,16:00,48.250,48.600,17-06-2020
152,1,12:52,48.280,48.610,18-06-2020
153,1,13:50,48.340,48.670,19-06-2020
154,1,08:35,48.480,48.830,20-06-2020
155,,,,,21-06-2020
156,1,08:25,48.580,48.930,22-06-2020
157,1,08:25,48.700,49.050,23-06-2020
158,1,08:25,48.870,49.250,24-06-2020
159,1,08:45,48.850,49.230,25-06-2020
160,1,11:10,48.830,49.180,26-06-2020
161,1,08:40,48.870,49.220,27-06-2020
162,,,,,28-06-2020
163,1,08:25,48.980,49.330,29-06-2020
164,1,09:25,48.970,49.320,30-06-2020
165,1,08:35,49.150,49.530,01-07-2020
166,1,09:10,49.200,49.580,02-07-2020
167,1,14:00,49.350,49.720,03-07-2020
168,1,08:55,49.500,49.880,04-07-2020
169,,,,,05-07-2020
170,1,08:50,49.540,49.920,06-07-2020
171,1,08:30,49.900,50.350,07-07-2020
172,1,09:40,49.930,50.330,08-07-2020
173,1,08:40,50.000,50.400,09-07-2020
174,1,08:40,50.120,50.570,10-07-2020
175,1,08:40,50.200,50.650,11-07-2020
176,,,,,12-07-2020
177,1,08:35,50.250,50.650,13-07-2020
178,1,08:25,50.170,50.530,14-07-2020
179,1,10:40,50.250,50.620,15-07-2020
180,1,11:00,50.280,50.650,16-07-2020
181,1,09:35,50.280,50.650,17-07-2020
182,1,08:45,50.350,50.750,18-07-2020
183,,,,,19-07-2020
184,1,08:55,50.350,50.750,20-07-2020
185,1,08:30,50.650,51.030,21-07-2020
186,1,08:35,51.500,52.650,22-07-2020
187,1,08:35,52.380,53.380,23-07-2020
188,1,08:35,53.720,54.870,24-07-2020
189,1,08:45,53.500,55.000,25-07-2020
190,,,,,26-07-2020
191,1,08:40,54.500,56.000,27-07-2020
192,1,09:05,56.500,58.100,28-07-2020
193,1,08:50,56.400,57.900,29-07-2020
194,1,08:35,56.700,57.950,30-07-2020
195,1,13:35,56.600,57.900,31-07-2020
196,1,08:35,56.630,57.930,01-08-2020
197,,,,,02-08-2020
198,1,09:10,56.800,57.950,03-08-2020
199,1,08:35,56.750,57.900,04-08-2020
200,1,08:25,56.830,57.980,05-08-2020
201,1,08:30,58.250,59.500,06-08-2020
202,1,10:10,60.600,62.200,07-08-2020
203,1,08:40,59.800,61.700,08-08-2020
204,,,,,09-08-2020
205,1,08:30,57.960,59.920,10-08-2020
206,1,08:35,55.680,57.520,11-08-2020
207,1,08:25,53.580,55.480,12-08-2020
208,1,09:00,52.900,56.220,13-08-2020
209,1,09:05,54.950,57.720,14-08-2020
210,1,09:00,54.530,56.530,15-08-2020
211,,,,,16-08-2020
212,1,08:40,53.950,55.600,17-08-2020
213,1,08:40,56.700,58.450,18-08-2020
214,1,08:35,56.250,57.650,19-08-2020
215,1,08:40,54.150,55.650,20-08-2020
216,1,08:30,55.350,56.750,21-08-2020
217,,,,,22-08-2020
218,,,,,23-08-2020
219,1,08:45,55.150,56.350,24-08-2020
220,1,08:50,55.050,56.100,25-08-2020
221,1,08:55,55.000,56.050,26-08-2020
222,1,08:35,55.250,56.250,27-08-2020
223,1,09:10,55.250,56.200,28-08-2020
224,1,08:35,55.800,56.900,29-08-2020
225,,,,,30-08-2020
226,1,08:40,56.000,56.950,31-08-2020
227,1,09:00,56.550,57.500,01-09-2020
228,,,,,02-09-2020
229,1,08:55,56.050,57.000,03-09-2020
230,1,13:20,55.850,56.800,04-09-2020
231,1,08:30,55.750,56.700,05-09-2020
232,,,,,06-09-2020
233,1,09:00,55.850,56.750,07-09-2020
234,1,08:35,55.700,56.500,08-09-2020
235,1,08:40,55.600,56.400,09-09-2020
236,1,08:30,56.050,56.750,10-09-2020
237,1,08:35,56.000,56.700,11-09-2020
238,1,08:30,55.850,56.550,12-09-2020
239,,,,,13-09-2020
240,1,10:20,55.850,56.550,14-09-2020
241,1,08:55,56.050,56.600,15-09-2020
242,1,09:50,56.050,56.550,16-09-2020
243,1,09:05,56.150,56.600,17-09-2020
244,1,09:45,56.100,56.550,18-09-2020
245,1,08:20,56.000,56.500,19-09-2020
246,,,,,20-09-2020
247,1,09:10,56.070,56.520,21-09-2020
248,1,08:15,56.100,56.550,22-09-2020
249,1,09:30,55.700,56.150,23-09-2020
250,1,08:30,55.100,55.600,24-09-2020
251,1,08:35,54.700,55.200,25-09-2020
252,1,09:50,55.050,55.550,26-09-2020
253,,,,,27-09-2020
254,1,08:35,55.080,55.550,28-09-2020
255,1,08:25,54.650,55.300,29-09-2020
256,1,08:55,55.250,55.750,30-09-2020
257,1,08:35,55.150,55.650,01-10-2020
258,1,09:25,55.650,56.150,02-10-2020
259,1,10:15,55.950,56.450,03-10-2020
260,,,,,04-10-2020
261,1,09:35,55.950,56.450,05-10-2020
262,1,08:35,56.000,56.500,06-10-2020
263,1,08:30,55.550,56.050,07-10-2020
264,1,08:25,55.600,56.100,08-10-2020
265,1,08:40,55.750,56.250,09-10-2020
266,1,08:50,56.000,56.500,10-10-2020
267,,,,,11-10-2020
268,1,15:45,55.950,56.450,12-10-2020
269,1,08:35,55.850,56.350,13-10-2020
270,1,09:00,55.600,56.100,14-10-2020
271,1,08:30,55.700,56.250,15-10-2020
272,1,09:10,55.850,56.300,16-10-2020
273,1,08:40,55.820,56.270,17-10-2020
274,,,,,18-10-2020
275,1,08:40,55.750,56.250,19-10-2020
276,1,10:45,55.850,56.350,20-10-2020
277,1,08:35,55.950,56.450,21-10-2020
278,1,08:45,55.950,56.450,22-10-2020
279,1,08:35,55.880,56.380,23-10-2020
280,1,08:35,55.850,56.350,24-10-2020
281,,,,,25-10-2020
282,1,15:05,55.800,56.300,26-10-2020
283,1,09:15,55.950,56.400,27-10-2020
284,1,08:30,55.950,56.400,28-10-2020
285,1,10:15,55.650,56.150,29-10-2020
286,1,09:45,55.700,56.200,30-10-2020
287,1,08:20,55.950,56.450,31-10-2020
288,,,,,01-11-2020
289,1,08:55,55.950,56.450,02-11-2020
290,1,08:35,56.250,56.750,03-11-2020
291,1,08:25,56.200,56.700,04-11-2020
292,1,09:40,55.950,56.450,05-11-2020
293,1,09:00,56.150,56.650,06-11-2020
